SR_ref_no,SR_date,category hierarchy,assigned_account,machine_model,serial_number,component_serial_number,commission_date,complaint_category,make,Name,type_of_activity,defect_no,problem_reported,problem_summary,sub_assembly,failure_mode,cause,corrective_action,problem,product_category
SRV-2023-0001,2023-01-05,Mechanical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-78621,CSN-MT7842,2022-03-15,Performance,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0112,Spindle rotation inconsistent and noisy,Spindle issues affecting machining precision,Main Spindle Assembly,Erratic Movement,Bearing failure due to inadequate lubrication,Replaced spindle bearings and implemented automatic lubrication system,Spindle Malfunction,CNC Lathe
SRV-2023-0002,2023-01-12,Electrical/Medium,ACC-META-002,LT-2200,SN-LT2200-32145,CSN-CT1278,2021-11-28,Electrical,MetalCraft Tools,Superior Tooling,Scheduled Maintenance,DEF-0081,Control panel showing intermittent errors,Error codes appearing during operation cycles,Control System,System Freeze,Loose wiring connections in control cabinet,Rewired control connections and secured terminal blocks,Control System Failure,Manual Lathe
SRV-2023-0003,2023-01-18,Software/Low,ACC-PREC-003,LT-4100,SN-LT4100-90532,CSN-SP4561,2022-09-05,Software,Precision Equipment Ltd,Apex Fabrication,Software Update,DEF-0157,Tool path calculation errors occurring,Inaccurate machining due to software errors,CNC Controller,Calculation Error,Outdated firmware causing parameter misreading,Updated firmware and recalibrated tool offsets,Software Bug,CNC Lathe
SRV-2023-0004,2023-01-25,Mechanical/Critical,ACC-GLOB-004,LT-3200,SN-LT3200-45237,CSN-HD8726,2022-05-11,Performance,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0098,Tailstock slipping during heavy cutting operations,Workpiece misalignment during machining processes,Tailstock Assembly,Component Slippage,Worn tailstock clamping mechanism,Replaced tailstock components and adjusted clamping pressure,Tailstock Failure,Heavy Duty Lathe
SRV-2023-0005,2023-02-03,Hydraulic/High,ACC-TECH-005,LT-5000,SN-LT5000-12587,CSN-HP3429,2022-08-21,Hydraulic,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0124,Hydraulic chuck not maintaining constant pressure,Chuck pressure fluctuations causing workpiece shift,Hydraulic System,Pressure Loss,Hydraulic pump seal deterioration,Replaced pump seals and pressure relief valve,Hydraulic System Issue,CNC Lathe
SRV-2023-0006,2023-02-10,Mechanical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-78935,CSN-GB6541,2022-04-18,Mechanical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0107,Gear noise increasing during speed changes,Gear train developing excessive backlash,Gearbox Assembly,Excessive Noise,Gear teeth wear from improper backlash adjustment,Replaced worn gears and adjusted backlash clearance,Gearbox Problem,CNC Lathe
SRV-2023-0007,2023-02-17,Electrical/Critical,ACC-META-002,LT-2800,SN-LT2800-56321,CSN-ED2178,2021-10-05,Electrical,MetalCraft Tools,Superior Tooling,Emergency Repair,DEF-0135,Drive system shutting down unexpectedly,Random shutdowns causing production delays,Drive System,Unexpected Shutdown,Overheating drive components due to cooling failure,Installed additional cooling fans and thermal sensors,Drive Failure,CNC Lathe
SRV-2023-0008,2023-02-24,Software/Medium,ACC-PREC-003,LT-4100,SN-LT4100-90875,CSN-FC1903,2022-07-12,Software,Precision Equipment Ltd,Apex Fabrication,Software Update,DEF-0146,User interface freezing during program changes,Interface becoming unresponsive during operations,User Interface,System Freeze,Memory leak in UI process,Updated UI software and increased system memory,Software Issue,CNC Lathe
SRV-2023-0009,2023-03-02,Mechanical/High,ACC-GLOB-004,LT-3200,SN-LT3200-45642,CSN-CS7824,2021-12-03,Mechanical,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0091,Chuck jaws not centering workpiece properly,Workpiece runout exceeding tolerance specifications,Chuck Assembly,Centering Error,Chuck scroll mechanism wear affecting jaw movement,Rebuilt chuck scroll mechanism and realigned jaws,Chuck Malfunction,Heavy Duty Lathe
SRV-2023-0010,2023-03-09,Cooling/Medium,ACC-TECH-005,LT-5000,SN-LT5000-12998,CSN-CF9078,2022-06-28,Cooling,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0119,Coolant not reaching cutting zone effectively,Insufficient cooling causing tool wear,Coolant System,Flow Restriction,Coolant nozzles clogged with metal chips,Cleaned coolant delivery system and replaced nozzles,Coolant System Failure,CNC Lathe
